country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Romania,Europe,1827867,58940,1753835,15092,400,95983,3095,17349823,911051,19043736
Russia,Europe,10601300,313817,9623677,663806,2300,72597,2149,242300000,1659259,146029016
Rwanda,Africa,117123,1362,45522,70239,4,8717,101,4093759,304676,13436450
Saint Barthelemy,North America,1895,6,,,,190970,605,56491,5692936,9923
Saint Helena,Africa,2,,2,0,,328,,,,6104
Saint Kitts And Nevis,North America,3489,28,2818,643,1,64891,521,60991,1134358,53767
Saint Lucia,North America,14232,305,13293,634,7,76973,1650,110917,599892,184895
Saint Martin,North America,4250,58,1399,2793,7,107158,1462,78366,1975896,39661
Saint Pierre And Miquelon,North America,113,,97,16,,19649,,14402,2504260,5751
Saint Vincent And The Grenadines,North America,6039,83,5353,603,7,54175,745,94386,846724,111472
Samoa,Australia/Oceania,3,,3,0,,15,,,,200406
San Marino,Europe,8487,102,7263,1122,5,249332,2997,107206,3149505,34039
Sao Tome And Principe,Africa,4034,61,3687,286,,17905,271,29036,128876,225301
Saudi Arabia,Asia,568650,8888,544161,15601,117,15959,249,33885624,950981,35632298
Senegal,Africa,77272,1892,73365,2015,5,4439,109,931963,53532,17409296
Serbia,Europe,1327455,12850,1269630,44975,79,152859,1480,7349981,846364,8684184
Seychelles,Africa,26255,134,24303,1818,,264489,1350,,,99267
Sierra Leone,Africa,7352,123,,,,894,15,259958,31618,8221745
Singapore,Asia,282401,834,277367,4200,14,47704,141,21098774,3564079,5919839
Sint Maarten,North America,5945,75,4878,992,4,136319,1720,62056,1422944,43611
Slovakia,Europe,856685,16871,802669,37145,455,156798,3088,5156380,943763,5463638
Slovenia,Europe,478860,5634,447463,25763,160,230291,2709,2113911,1016611,2079370
Solomon Islands,Australia/Oceania,24,,20,4,,34,,4500,6318,712289
Somalia,Africa,24261,1335,13182,9744,,1465,81,400466,24180,16561760
South Africa,Africa,3494696,91561,3249738,153397,546,57823,1515,21394263,353988,60437755
South Korea,Asia,653792,5887,545464,102441,882,12736,115,15804065,307856,51335855
South Sudan,Africa,15849,136,12934,2779,1,1391,12,297596,26123,11391895
Spain,Europe,6922466,89837,5124221,1708408,2005,147972,1920,66213858,1415366,46782142
Sri Lanka,Asia,590063,15083,561557,13423,,27383,700,5726599,265749,21548891
State Of Palestine,Asia,441224,4698,433130,3396,57,83560,890,2875118,544500,5280295
Sudan,Africa,47272,3340,38714,5218,,1041,74,562941,12401,45393571
Suriname,South America,55376,1193,49098,5085,2,93136,2006,176922,297562,594571
Swaziland,Africa,66873,1320,62684,2869,11,56754,1120,434821,369022,1178305
Sweden,Europe,1375267,15326,1204187,155754,115,134904,1503,15268363,1497722,10194393
Switzerland,Europe,1448527,12405,1068745,367377,301,165542,1418,14676961,1677324,8750225
Syria,Asia,50417,2915,33120,14382,,2779,161,146269,8063,18141867
Taiwan,Asia,17198,850,15936,412,,720,36,9400772,393636,23881908
Tajikistan,Asia,17095,124,16966,5,,1734,13,,,9860805
Tanzania,Africa,30564,740,,,7,491,12,,,62299375
Thailand,Asia,2245250,21780,2185502,37968,588,32045,311,17270775,246498,70064607
Timor Leste,Asia,19844,122,19711,11,,14631,90,226374,166901,1356339
Togo,Africa,32515,251,26435,5829,,3793,29,624582,72868,8571395
Tonga,Australia/Oceania,1,,1,0,,9,,,,107504
Trinidad And Tobago,North America,94213,2973,75804,15436,22,66992,2114,520520,370125,1406335
Tunisia,Africa,733379,25617,697537,10225,84,61088,2134,3432826,285941,12005377
Turkey,Asia,9718861,83075,9192167,443619,1128,113393,969,120595094,1407020,85709562
Turks And Caicos Islands,North America,3562,26,3224,312,,90159,658,94789,2399236,39508
Uganda,Africa,150301,3325,98601,48375,84,3137,69,2189299,45688,47918222
UK,Europe,14015065,149515,10620728,3244822,875,204825,2185,416613079,6088633,68424733
Ukraine,Europe,3689291,96896,3500914,91481,177,85131,2236,16898750,389941,43336671
United Arab Emirates,Asia,777584,2170,750156,25258,,77211,215,113888287,11308717,10070841
Uruguay,South America,425436,6181,401401,17854,27,121834,1770,4488971,1285532,3491918
USA,North America,58805186,853612,41999896,15951678,20938,176098,2556,826586018,2475292,333934783
Uzbekistan,Asia,199507,1485,196758,1264,23,5833,43,1377915,40288,34201483
Vanuatu,Australia/Oceania,7,1,6,0,,22,3,23000,72334,317971
Venezuela,South America,445680,5341,435507,4832,681,15741,189,3359014,118634,28314183
Viet Nam,Asia,1817721,33475,1436046,348200,6257,18424,339,75268432,762897,98661349
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,,41495,640,20508,1874417,10941
Western Sahara,Africa,10,1,8,1,,16,2,,,619489
Yemen,Asia,10152,1986,7043,1123,23,329,64,265253,8607,30816951
Zambia,Africa,274087,3782,236878,33427,317,14305,197,3024431,157850,19160213
Zimbabwe,Africa,219057,5092,189713,24252,12,14422,335,1871198,123190,15189558
